id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant 
347	1596	1649	3726;3727;3728	3181;3182;3183		522		71	Q13439	Q13439	1	1	1	256 kDa golgin;Golgin subfamily A member 4;Golgin-245;Protein 72.1;Trans-Golgi p230	GOLGA4	>Q13439|GOGA4_HUMAN Golgin subfamily A member 4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.4	0.4	0.4	261.14	2230	1	2	1.8178E-08	0.4	0.4	0	0	0	0	0	0	0	0	0	0			
348	519	539	1200;1201	1004		523		758	Q13443	Q13443	1	1	1	Cellular disintegrin-related protein;Disintegrin and metalloproteinase domain-containing protein 9;Meltrin-gamma;Metalloprotease/disintegrin/cysteine-rich protein 9;Myeloma cell metalloproteinase	ADAM9;KIAA0021;MCMP;MDC9;MLTNG	>Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	90.555	819	1	1	0.04088	1.1	1.1	0	0	0	0	0	0	0	0	0	0			
349	683;1322	714;1369	1622;1623;3111;3112	1395;2674		524		266	Q13501	Q13501	2	2	2	EBI3-associated protein of 60 kDa;Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa;Sequestosome-1;Ubiquitin-binding protein p62	ORCA;OSIL;SQSTM1	>Q13501|SQSTM_HUMAN Sequestosome-1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	3.6	3.6	3.6	47.687	440	2	2	0.0040134	3.6	3.6	0	0	0	0	0	0	0	0	0	0			
350	144;537;766;800	151;557;798;833	347;348;1236;1237;1803;1804;1805;1806;1893;1894	290;1029;1030;1541;1542;1543;1544;1625		525;526;1586		257;277;849	Q13523	Q13523	4	4	4	PRP4 kinase;PRP4 pre-mRNA-processing factor 4 homolog;Serine/threonine-protein kinase PRP4 homolog	KIAA0536;PRP4;PRP4H;PRP4K;PRPF4B	>Q13523|PRP4B_HUMAN Serine/threonine-protein kinase PRP4 homolog |Homo sapiens	1	4	4	4	4	4	4	4	4	4	4.2	4.2	4.2	116.99	1007	5	5	8.7037E-22	4.2	4.2	0	0	0	0	0	0	0	0	0	0			
351	363;907;1630	381;948;1685	851;852;2130;2131;3798;3799	714;1801;1802;1803;3246		527;1424;1425;1426;1427		35;36;37;45;70	Q13541	Q13541	3	3	3	Eukaryotic translation initiation factor 4E-binding protein 1;Phosphorylated heat- and acid-stable protein regulated by insulin 1	EIF4EBP1	>Q13541|4EBP1_HUMAN Eukaryotic translation initiation factor 4E-binding protein 1 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	66.9	66.9	66.9	12.58	118	3	3	3.589E-23	66.9	66.9	0	0	0	0	0	0	0	0	0	0			
352	436	454	1012	856		528;529		224;232	Q13573	Q13573	1	1	1	Nuclear protein SkiP;Nuclear receptor coactivator NCoA-62;Ski-interacting protein;SNW domain-containing protein 1	SKIIP;SKIP;SNW1	>Q13573|SNW1_HUMAN SNW domain-containing protein 1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.8	2.8	2.8	61.494	536		1	0.016723	0	2.8	0	0	0	0	0	0	0	0	0	0			
353	1223	1270	2869;2870	2456		530		620	Q13586	Q13586	1	1	1	Stromal interaction molecule 1	GOK;STIM1	>Q13586|STIM1_HUMAN Stromal interaction molecule 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.8	2.8	2.8	77.422	685	1	1	8.56E-05	2.8	2.8	0	0	0	0	0	0	0	0	0	0			
354	75;76;975;1103	78;79;1018;1148	175;176;177;178;2313;2598;2599	135;136;137;138;1981;2211		392;393;1428		202;260;262	Q13595	Q13595	4	4	3	Transformer-2 protein homolog A;Transformer-2 protein homolog alpha	TRA2A	>Q13595|TRA2A_HUMAN Transformer-2 protein homolog alpha |Homo sapiens	1	4	4	3	3	4	3	4	2	3	15.2	15.2	12.1	32.688	282	3	4	7.3143E-10	14.9	15.2	0	0	0	0	0	0	0	0	0	0			
355	311	325	731	622		531		50	Q13610	Q13610	1	1	1	Keratinocyte protein IEF SSP 9502;Periodic tryptophan protein 1 homolog	PWP1	>Q13610|PWP1_HUMAN Periodic tryptophan protein 1 homolog |Homo sapiens	1	1	1	1	0	1	0	1	0	1	5.4	5.4	5.4	55.827	501		1	3.5024E-07	0	5.4	0	0	0	0	0	0	0	0	0	0			
356	696	727	1649;1650	1418;1419		1587		321	Q13627;Q9Y463	Q13627;Q9Y463	1;1	1;1	1;1	Dual specificity tyrosine-phosphorylation-regulated kinase 1A;Dual specificity YAK1-related kinase;HP86;Protein kinase minibrain homolog;Dual specificity tyrosine-phosphorylation-regulated kinase 1B;Minibrain-related kinase;Mirk protein kinase	DYRK;DYRK1A;MNB;MNBH;DYRK1B;MIRK	>Q13627|DYR1A_HUMAN Dual specificity tyrosine-phosphorylation-regulated kinase 1A |Homo sapiens;>Q9Y463|DYR1B_HUMAN Dual specificity tyrosine-phosphorylation-regulated kinase 1B |Homo sapiens	2	1	1	1	1	1	1	1	1	1	1	1	1	85.583	763	1	1	1.0823E-05	1	1	0	0	0	0	0	0	0	0	0	0			
357	138	145	337;338	282		532		1039	Q13796	Q13796	1	1	1	Apical-like protein;Protein APXL;Protein Shroom2	APXL;SHROOM2	>Q13796|SHRM2_HUMAN Protein Shroom2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.7	0.7	0.7	176.41	1616	1	1	1.296E-07	0.7	0.7	0	0	0	0	0	0	0	0	0	0			
358	39	40	91;92	72					Q13838	Q13838	1	1	1	56 kDa U2AF65-associated protein;ATP-dependent RNA helicase p47;DEAD box protein UAP56;HLA-B-associated transcript 1 protein;Spliceosome RNA helicase BAT1	BAT1;UAP56	>Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7.5	7.5	7.5	48.991	428	1	1	0.0079654	7.5	7.5	562400	114910	447490	23433	4788	18645	0	447490	0	1			
359	1092	1137	2578	2191		533		124	Q13868	Q13868	1	1	1	Exosome complex exonuclease RRP4;Exosome component 2;Ribosomal RNA-processing protein 4	EXOSC2;RRP4	>Q13868|EXOS2_HUMAN Exosome complex component RRP4 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	3.8	3.8	3.8	32.789	293		1	0.035669	0	3.8	0	0	0	0	0	0	0	0	0	0			
360	540	561	1248;1249;1250;1251	1037;1038;1039;1040		534;535		82;83	Q14103	Q14103	1	1	1	AU-rich element RNA-binding protein 1;Heterogeneous nuclear ribonucleoprotein D0	AUF1;HNRNPD;HNRPD	>Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.1	5.1	5.1	38.434	355	2	2	1.605E-06	5.1	5.1	0	0	0	0	0	0	0	0	0	0			
361	468;1633	487;1688	1082;1083;3802	904;3249		536;537		680;703	Q14126	Q14126	2	2	2	Cadherin family member 5;Desmoglein-2;HDGC	CDHF5;DSG2	>Q14126|DSG2_HUMAN Desmoglein-2 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	2.3	2.3	2.3	122.29	1118	1	2	1.1451E-08	0.8	2.3	0	0	0	0	0	0	0	0	0	0			
362	1527	1576	3572;3573	3055		538;539		488;489	Q14134	Q14134	1	1	1	Ataxia telangiectasia group D-associated protein;Tripartite motif-containing protein 29	ATDC;TRIM29	>Q14134|TRI29_HUMAN Tripartite motif-containing protein 29 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.2	2.2	2.2	65.834	588	1	1	0.019062	2.2	2.2	0	0	0	0	0	0	0	0	0	0			
363	1024	1067	2421;2422	2078		540		832	Q14151	Q14151	1	1	1	Scaffold attachment factor B2	KIAA0138;SAFB2	>Q14151|SAFB2_HUMAN Scaffold attachment factor B2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	107.47	953	1	1	0.063814	1.4	1.4	0	0	0	0	0	0	0	0	0	0	+		
364	574	595	1338;1339	1121		541;542		219;220	Q14156	Q14156	1	1	1	Protein EFR3 homolog A;Protein EFR3-like	EFR3A;KIAA0143	>Q14156|EFR3A_HUMAN Protein EFR3 homolog A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3	3	3	92.923	821	1	1	3.0568E-05	3	3	0	0	0	0	0	0	0	0	0	0			
365	1135;1293;1391	1181;1340;1439	2662;2663;3044;3045;3046;3047;3270;3271	2258;2259;2617;2618;2619;2620;2621;2800;2801		543;544;545;546;547		454;470;471;608;609	Q14157	Q14157	3	3	3	Protein NICE-4;Ubiquitin-associated protein 2-like	KIAA0144;NICE4;UBAP2L	>Q14157|UBP2L_HUMAN Ubiquitin-associated protein 2-like |Homo sapiens	1	3	3	3	3	3	3	3	3	3	5.9	5.9	5.9	114.53	1087	4	4	5.0586E-26	5.9	5.9	0	0	0	0	0	0	0	0	0	0			
366	45;94;963;1099;1128	46;98;1006;1144;1174	103;104;219;220;2290;2291;2590;2591;2652	80;165;1967;2207;2251		548;549;550;551		502;1378;1448;1486	Q14160	Q14160	5	5	5	Protein LAP4;Protein scribble homolog	CRIB1;KIAA0147;LAP4;SCRB1;SCRIB;VARTUL	>Q14160|SCRIB_HUMAN Protein scribble homolog |Homo sapiens	1	5	5	5	4	5	4	5	4	5	5.6	5.6	5.6	174.88	1630	4	5	2.5838E-06	4.8	5.6	0	0	0	0	0	0	0	0	0	0			
367	188;989;1410	197;1032;1458	462;463;2338;3311;3312	395;2001;2826		552;553		183;315	Q14244	Q14244	3	3	3	Ensconsin;Epithelial microtubule-associated protein of 115 kDa;Microtubule-associated protein 7	MAP7	>Q14244|MAP7_HUMAN Ensconsin |Homo sapiens	1	3	3	3	3	2	3	2	3	2	2.4	2.4	2.4	84.051	749	3	2	0.00010131	2.4	2.3	0	0	0	0	0	0	0	0	0	0			
368	112;113;147;629;825;1504	116;117;118;154;656;858;1553	260;261;262;263;264;265;266;267;268;269;270;271;353;354;1482;1483;1950;3511;3512;3513;3514;3515;3516	203;204;205;206;207;208;209;293;294;1272;1273;1670;3011;3012;3013;3014;3015		1429		399	Q14247	Q14247	6	6	6	Amplaxin;Oncogene EMS1;Src substrate cortactin	CTTN;EMS1	>Q14247|SRC8_HUMAN Src substrate cortactin |Homo sapiens	1	6	6	6	6	5	6	5	6	5	15.8	15.8	15.8	61.585	550	12	11	1.6521E-42	15.8	12.2	2470800	1143700	1327000	82358	38124	44234	3399400	0	2	1			
369	575	596	1340;1341	1122		554		2233	Q14315	Q14315	1	1	1	ABP-280-like protein;ABP-L;Actin-binding-like protein;Filamin-2;Filamin-C;Gamma-filamin	ABPL;FLN2;FLNC	>Q14315|FLNC_HUMAN Filamin-C |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.3	0.3	0.3	291.02	2725	1	1	0.00072456	0.3	0.3	0	0	0	0	0	0	0	0	0	0			
370	242;1672	253;1728	589;590;3878;3879;3880;3881	506;507;3314;3315;3316;3317		555;556		97;136	Q14498	Q14498	2	2	2	Hepatocellular carcinoma protein 1;RNA-binding motif protein 39;RNA-binding protein 39;RNA-binding region-containing protein 2;Splicing factor HCC1	HCC1;RBM39;RNPC2	>Q14498|RBM39_HUMAN RNA-binding protein 39 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	4.9	4.9	4.9	59.379	530	3	3	7.841E-40	4.9	4.9	0	0	0	0	0	0	0	0	0	0			
371	857	896	2024;2025	1729	36;37	557;558;1430;1431	1;5	2;16;28;29	Q14571	Q14571	1	1	1	Inositol 1,4,5-trisphosphate receptor type 2;IP3 receptor isoform 2;Type 2 inositol 1,4,5-trisphosphate receptor	ITPR2	>Q14571|ITPR2_HUMAN Inositol 1,4,5-trisphosphate receptor type 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	308.06	2701	1	1	0.014972	1.3	1.3	0	0	0	0	0	0	0	0	0	0			
372	788	821	1866;1867	1606		559		934	Q14573	Q14573	1	1	1	Inositol 1,4,5-trisphosphate receptor type 3;IP3 receptor isoform 3;Type 3 inositol 1,4,5-trisphosphate receptor	ITPR3	>Q14573|ITPR3_HUMAN Inositol 1,4,5-trisphosphate receptor type 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	304.1	2671	1	1	0.029989	0.8	0.8	0	0	0	0	0	0	0	0	0	0			
373	992	1035	2344;2345	2009		560		709	Q14671	Q14671	1	1	1	Pumilio homolog 1	KIAA0099;PUM1;PUMH1	>Q14671|PUM1_HUMAN Pumilio homolog 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	126.47	1186	1	1	5.1731E-11	1.1	1.1	0	0	0	0	0	0	0	0	0	0			
374	1144;1145	1190;1191	2683;2684;2685;2686	2278;2279;2280;2281		561		99	Q14739	Q14739	2	2	2	Integral nuclear envelope inner membrane protein;Lamin-B receptor;LMN2R	LBR	>Q14739|LBR_HUMAN Lamin-B receptor |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.3	2.3	2.3	70.702	615	2	2	1.5949E-09	2.3	2.3	0	0	0	0	0	0	0	0	0	0			
375	1546	1595	3616	3091		562		873	Q14764	Q14764	1	1	1	Lung resistance-related protein;Major vault protein	LRP;MVP	>Q14764|MVP_HUMAN Major vault protein |Homo sapiens	1	1	1	1	0	1	0	1	0	1	3.6	3.6	3.6	99.326	893		1	0.035764	0	3.6	0	0	0	0	0	0	0	0	0	0			
376	856	895	2022;2023	1728		563		1535	Q14839	Q14839	1	1	1	ATP-dependent helicase CHD4;Chromodomain-helicase-DNA-binding protein 4;Mi-2 autoantigen 218 kDa protein;Mi2-beta	CHD4	>Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.5	0.5	0.5	218	1912	1	1	0.027763	0.5	0.5	0	0	0	0	0	0	0	0	0	0			
377	832	869	1974;1975	1691		564		146	Q14847	Q14847	1	1	1	LIM and SH3 domain protein 1;Metastatic lymph node gene 50 protein	LASP1;MLN50	>Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	8.8	8.8	8.8	29.717	261	1	1	0.012731	8.8	8.8	0	0	0	0	0	0	0	0	0	0			
378	1068	1111	2521;2522	2148		565		288	Q14938	Q14938	1	1	1	CCAAT-box-binding transcription factor;Nuclear factor 1 X-type;Nuclear factor I/X;TGGCA-binding protein	NFIX	>Q14938|NFIX_HUMAN Nuclear factor 1 X-type |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	55.098	502	1	1	0.012316	4.8	4.8	0	0	0	0	0	0	0	0	0	0			
379	184;185;498;893	193;194;518;933	455;456;457;1144;1145;2096;2097	391;392;947;1780		566;567;568;1432		552;1400;1401;1851	Q14966	Q14966	4	4	4	Cutaneous T-cell lymphoma-associated antigen se33-1;Nuclear protein 220;Zinc finger matrin-like protein;Zinc finger protein 638	NP220;ZFML;ZNF638	>Q14966|ZN638_HUMAN Zinc finger protein 638 |Homo sapiens	1	4	4	4	3	4	3	4	3	4	1.4	1.4	1.4	220.62	1978	3	4	3.5658E-09	1.3	1.4	0	0	0	0	0	0	0	0	0	0			
380	425	443	992;993	839		569		538	Q14978	Q14978	1	1	1	140 kDa nucleolar phosphoprotein;Hepatitis C virus NS5A-transactivated protein 13;Nucleolar 130 kDa protein;Nucleolar and coiled-body phosphoprotein 1;Nucleolar phosphoprotein p130	KIAA0035;NOLC1;NS5ATP13	>Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.6	1.6	1.6	73.602	699	1	1	0.024612	1.6	1.6	0	0	0	0	0	0	0	0	0	0			
381	93;133;134;1500;1501;1612	97;140;141;1549;1550;1666	218;326;327;328;329;3501;3502;3503;3504;3505;3506;3763;3764	164;273;274;275;276;3002;3003;3004;3005;3006;3222;3223		570;571;1433;1434		163;1769;2000;2077	Q14980	Q14980	6	6	6	Nuclear mitotic apparatus protein 1;SP-H antigen	NUMA;NUMA1	>Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 |Homo sapiens	1	6	6	6	4	6	4	6	4	6	4.1	4.1	4.1	238.26	2115	6	7	2.4361E-52	2.7	4.1	0	0	0	0	0	0	0	0	0	0			
382	695	726	1647;1648	1412;1413;1414;1415;1416;1417		572		218	Q15019	Q15019	1	1	1	Neural precursor cell expressed developmentally down-regulated protein 5;Septin-2	DIFF6;KIAA0158;NEDD5;SEPT2	>Q15019|SEPT2_HUMAN Septin-2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	41.487	361	1	1	8.1515E-55	5.5	5.5	0	0	0	0	0	0	0	0	0	0			
383	1173	1219	2748;2749	2333;2334		573		263	Q15059	Q15059	1	1	1	Bromodomain-containing protein 3;RING3-like protein	BRD3;KIAA0043;RING3L	>Q15059|BRD3_HUMAN Bromodomain-containing protein 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	79.541	726	1	1	0.00017027	1.5	1.5	0	0	0	0	0	0	0	0	0	0			
384	631	658	1486;1487	1275;1276		574		77	Q15061	Q15061	1	1	1	WD repeat-containing protein 43	KIAA0007;WDR43	>Q15061|WDR43_HUMAN WD repeat-containing protein 43 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	74.89	677	1	1	4.8567E-08	1.3	1.3	0	0	0	0	0	0	0	0	0	0			
385	7;135;479;983;1159;1335;1372;1417	8;142;498;1026;1205;1382;1420;1465	20;21;330;331;332;333;1103;1104;2326;2327;2717;2718;2719;3144;3145;3229;3230;3231;3232;3233;3234;3235;3324;3325	14;15;16;277;278;279;921;1990;1991;1992;1993;2303;2304;2700;2701;2767;2768;2769;2770;2771;2772;2773;2774;2775;2776;2834		575;576;577;578;579;580;581;582;583;584		720;1047;1435;1721;4382;4384;4385;4386;4620;4622	Q15149	Q15149	8	8	8	Hemidesmosomal protein 1;Plectin-1	PLEC1	>Q15149|PLEC_HUMAN Plectin |Homo sapiens	1	8	8	8	8	8	8	8	8	8	2	2	2	531.78	4684	13	11	5.7286E-125	2	2	766500	425520	340970	2241.2	1244.2	997	0	340970	2	1			
386	354	372	829;830	700;701		1435		450	Q15233	Q15233	1	1	1	54 kDa nuclear RNA- and DNA-binding protein;55 kDa nuclear protein;DNA-binding p52/p100 complex, 52 kDa subunit;NMT55;Non-POU domain-containing octamer-binding protein;p54(nrb)	NONO;NRB54	>Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.7	4.7	4.7	54.231	471	1	1	1.1024E-28	4.7	4.7	0	0	0	0	0	0	0	0	0	0			
387	957;1585	1000;1638	2274;2275;3705	1956;3163		585;586;587;588		189;262;263;264	Q15365	Q15365	2	2	2	Alpha-CP1;Heterogeneous nuclear ribonucleoprotein E1;Nucleic acid-binding protein SUB2.3;Poly(rC)-binding protein 1	PCBP1	>Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	13.5	13.5	13.5	37.497	356	1	2	9.4735E-05	7	13.5	0	0	0	0	0	0	0	0	0	0			
388	478	497	1101;1102	920		589;590		187;188	Q15366	Q15366	1	1	1	Alpha-CP2;Heterogeneous nuclear ribonucleoprotein E2;Poly(rC)-binding protein 2	PCBP2	>Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6.3	6.3	6.3	38.58	365	1	1	0.011502	6.3	6.3	0	0	0	0	0	0	0	0	0	0			
389	44;1415;1416	45;1463;1464	101;102;3320;3321;3322;3323	78;79;2831;2832;2833		591;592;593;594;595;596;1436;1437		11;20;21;23;24;26;28;604	Q15424	Q15424	3	3	3	HSP27 estrogen response element-TATA box-binding protein;Scaffold attachment factor B1	HAP;HET;SAFB;SAFB1	>Q15424|SAFB1_HUMAN Scaffold attachment factor B1 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	4.5	4.5	4.5	102.64	915	3	3	1.059E-09	4.5	4.5	0	0	0	0	0	0	0	0	0	0			
390	162	171	401;402	341		597		256	Q15477	Q15477	1	1	1	Helicase SKI2W;Helicase-like protein	DDX13;SKI2W;SKIV2;SKIV2L;W	>Q15477|SKIV2_HUMAN Helicase SKI2W |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	137.75	1246	1	1	0.035164	0.8	0.8	0	0	0	0	0	0	0	0	0	0			
391	232	242	572	492		598		323	Q15554	Q15554	1	1	1	Telomeric DNA-binding protein;Telomeric repeat-binding factor 2;TTAGGG repeat-binding factor 2	TERF2;TRBF2;TRF2	>Q15554|TERF2_HUMAN Telomeric repeat-binding factor 2 |Homo sapiens	1	1	1	1	1	0	1	0	1	0	3.2	3.2	3.2	55.55	500	1		0.044656	3.2	0	0	0	0	0	0	0	0	0	0	0			
392	678;679	709;710	1609;1610;1611	1388;1389		599		1891	Q15643	Q15643	2	2	2	Clonal evolution-related gene on chromosome 14 protein;Golgi-associated microtubule-binding protein 210;Thyroid receptor-interacting protein 11;Trip230	CEV14;TRIP11	>Q15643|TRIPB_HUMAN Thyroid receptor-interacting protein 11 |Homo sapiens	1	2	2	2	2	1	2	1	2	1	0.8	0.8	0.8	227.58	1979	2	1	0.00052218	0.8	0.8	0	0	0	0	0	0	0	0	0	0			
393	107;1311	111;1358	245;246;3087;3088	190;2655		600;1438		1051;1223	Q15648	Q15648	2	2	2	Activator-recruited cofactor 205 kDa component;Mediator complex subunit 1;Mediator of RNA polymerase II transcription subunit 1;p53 regulatory protein RB18A;Peroxisome proliferator-activated receptor-binding protein;Thyroid hormone receptor-associated protein complex 220 kDa component;Thyroid receptor-interacting protein 2;Vitamin D receptor-interacting protein complex component DRIP205	ARC205;CRSP1;CRSP200;DRIP205;DRIP230;MED1;PBP;PPARBP;PPARGBP;RB18A;TRAP220;TRIP2	>Q15648|MED1_HUMAN Mediator of RNA polymerase II transcription subunit 1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.4	2.4	2.4	168.48	1581	2	2	1.0136E-09	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
394	1576	1628	3681;3682	3140		1439		487	Q15910	Q15910	1	1	1	Enhancer of zeste homolog 2;ENX-1;Histone-lysine N-methyltransferase EZH2;Lysine N-methyltransferase 6	EZH2;KMT6	>Q15910|EZH2_HUMAN Histone-lysine N-methyltransferase EZH2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	85.362	746	1	1	0.0060663	2.7	2.7	0	0	0	0	0	0	0	0	0	0			
395	432;433	450;451	1004;1005;1006;1007	847;848;849		1440		270	Q15942	Q15942	2	2	2	Zyxin;Zyxin-2	ZYX	>Q15942|ZYX_HUMAN Zyxin |Homo sapiens	1	2	2	2	2	2	2	2	2	2	3.3	3.3	3.3	61.277	572	2	2	0.0010889	3.3	3.3	0	0	0	0	0	0	0	0	0	0			
396	451	470	1047;1048	878;879		1441		958	Q16513	Q16513	1	1	1	Protein kinase C-like 2;Protein-kinase C-related kinase 2;Serine/threonine-protein kinase N2	PKN2;PRK2;PRKCL2	>Q16513|PKN2_HUMAN Serine/threonine-protein kinase N2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.6	2.6	2.6	112.03	984	1	1	0.047533	2.6	2.6	0	0	0	0	0	0	0	0	0	0	+		
397	622	648	1464;1465	1246		601		51	Q16514	Q16514	1	1	1	Transcription initiation factor TFIID 20/15 kDa subunits;Transcription initiation factor TFIID subunit 12	TAF12;TAF15;TAF2J;TAFII20	>Q16514|TAF12_HUMAN Transcription initiation factor TFIID subunit 12 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	13	13	13	17.924	161	1	1	0.050368	13	13	0	0	0	0	0	0	0	0	0	0	+		
398	314	328	737	627		1442		404	Q16630	Q16630	1	1	1	Cleavage and polyadenylation specificity factor 68 kDa subunit;Cleavage and polyadenylation specificity factor subunit 6;Pre-mRNA cleavage factor Im 68 kDa subunit;Protein HPBRII-4/7	CFIM68;CPSF6	>Q16630|CPSF6_HUMAN Cleavage and polyadenylation specificity factor subunit 6 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	3.6	3.6	3.6	59.209	551		1	0.080707	0	3.6	0	0	0	0	0	0	0	0	0	0	+		
399	296;673;822	310;704;855	699;700;1595;1596;1597;1598;1942;1943;1944	599;1373;1374;1375;1376;1377;1378;1379;1664;1665;1666		602;603;1443		142;341;343	Q16643	Q16643	3	3	3	Developmentally-regulated brain protein;Drebrin	D0S117E;DBN1	>Q16643|DREB_HUMAN Drebrin |Homo sapiens	1	3	3	3	3	3	3	3	3	3	9.6	9.6	9.6	71.428	649	5	4	1.5526E-30	9.6	9.6	761190	487660	273530	27186	17416	9769.1	0	273530	1	0			
400	1586	1639	3706;3707	3164		604		36	Q16658	Q16658	1	1	1	55 kDa actin-bundling protein;Fascin;p55;Singed-like protein	FAN1;FSCN1;HSN;SNL	>Q16658|FSCN1_HUMAN Fascin |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	54.529	493	1	1	0.042619	2	2	0	0	0	0	0	0	0	0	0	0			
401	336;763;1604	353;795;1657	789;790;1799;3742;3743;3744;3745;3746	675;676;1538;3196;3197;3198;3199		605;1444		105;153	Q16666	Q16666	3	3	3	Gamma-interferon-inducible protein 16;Interferon-inducible myeloid differentiation transcriptional activator	IFI16;IFNGIP1	>Q16666|IF16_HUMAN Gamma-interferon-inducible protein 16 |Homo sapiens	1	3	3	3	2	3	2	3	2	3	5.1	5.1	5.1	88.255	785	3	5	8.1837E-12	4.8	5.1	0	0	0	0	0	0	0	0	0	0			
402	1265;1272	1312;1319	2979;2996	2571;2588		606;607;608		193;226;228	Q1KMD3	Q1KMD3	2	2	2	Heterogeneous nuclear ribonucleoprotein U-like protein 2;Scaffold-attachment factor A2	HNRNPUL2;HNRPUL2	>Q1KMD3|HNRL2_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 2 |Homo sapiens	1	2	2	2	0	2	0	2	0	2	6.2	6.2	6.2	85.104	747		2	7.4382E-16	0	6.2	0	0	0	0	0	0	0	0	0	0			
